Month,Website_Sales,Amazon_Sales,Flipkart_Sales,COGS,Operating_Expenses,Ad_Spend,Platform_Fees,Loan_Amount,Loan_Repayment,Interest_Expense,Total_Revenue,Total_Expenses,Net_Cash_Flow,Debt_to_Equity,Profit_Margin,Debt_Risk_Label,Cashflow_Stability_Label
31-05-2099,568432,116014,176019,384231,160529,82532,49335,649983,20369,13769,860465,710765,149700,1.36,0.17,Medium,Stable
31-10-2073,427645,192578,108803,172931,126918,23332,22716,134585,12881,6963,729026,365741,363285,0.24,0.5,Low,Stable
30-04-2086,736507,264827,229302,239116,128116,86323,48885,770543,9587,7838,1230636,519865,710771,0.78,0.58,Low,Stable
30-04-2022,505073,140390,228934,401671,172226,58990,17837,668695,28264,12399,874397,691387,183010,1.41,0.21,Medium,Stable
31-08-2071,327309,385855,310147,467777,94757,29873,29159,699500,8791,12243,1023311,642600,380711,1.26,0.37,Medium,Stable
30-04-2066,529588,191658,110795,201913,171008,56444,46877,104126,41473,1845,832041,519560,312481,0.17,0.38,Low,Stable
30-04-2048,664008,157993,350914,400216,181379,55340,31560,735733,22375,13942,1172915,704812,468103,0.95,0.4,Low,Stable
30-06-2086,546699,305768,91093,244776,106889,25033,27106,601946,22611,16766,943560,443181,500379,0.86,0.53,Low,Stable
31-10-2099,535842,258285,359713,175991,85944,93324,18720,165912,42026,4112,1153840,420117,733723,0.17,0.64,Low,Stable
31-07-2047,586594,346860,353334,335917,149555,35689,47661,817439,7833,12780,1286788,589435,697353,0.86,0.54,Low,Stable
30-04-2073,243925,369565,253824,254092,88134,20066,38362,974451,47013,15690,867314,463357,403957,1.59,0.47,Medium,Stable
28-02-2062,337023,318008,243399,379577,75954,65246,38258,631121,15754,10088,898430,584877,313553,1.22,0.35,Medium,Stable
31-12-2048,287388,117727,384214,336384,139959,27533,31782,118637,42048,1509,789329,579215,210114,0.26,0.27,Low,Stable
31-05-2059,732295,474562,120197,553777,54992,90152,31120,907153,12577,12404,1327054,755022,572032,1.17,0.43,Medium,Stable
31-03-2039,457802,104358,82261,560117,51961,79658,29790,617508,31095,1578,644421,754199,-109778,7.32,-0.17,High,Unstable
31-10-2035,635048,427252,237584,387113,62497,58498,37912,26393,21248,17263,1299884,584531,715353,0.03,0.55,Low,Stable
30-09-2038,258596,357681,371077,245556,63255,31772,44812,581768,35282,18546,987354,439223,548131,0.78,0.56,Low,Stable
31-01-2052,551005,194018,215450,475019,185639,69036,46160,903675,36737,14106,960473,826697,133776,1.86,0.14,Medium,Stable
31-05-2051,739812,486601,120583,306989,98847,78531,29156,874722,31891,9840,1346996,555254,791742,0.84,0.59,Low,Stable
31-07-2043,722244,394054,240105,474264,70389,32940,20672,479551,24124,12931,1356403,635320,721083,0.54,0.53,Low,Stable
31-10-2099,612498,226888,191032,545204,173802,36932,24444,890695,4566,1359,1030418,786307,244111,1.84,0.24,Medium,Stable
30-09-2072,699097,329104,286940,522185,111576,76827,16784,664467,2196,4242,1315141,733810,581331,0.84,0.44,Low,Stable
30-04-2072,348056,417898,384748,278467,93919,81431,27929,521397,31115,16464,1150702,529325,621377,0.6,0.54,Low,Stable
31-01-2101,214060,293510,306727,557472,53358,44648,11070,792425,49941,19116,814297,735605,78692,3.09,0.1,High,Stable
31-01-2082,677272,209847,153869,530634,138535,52966,32906,93650,19859,2709,1040988,777609,263379,0.18,0.25,Low,Stable
31-07-2041,718545,400611,347554,368800,155982,47777,44618,758685,11345,18806,1466710,647328,819382,0.69,0.56,Low,Stable
30-11-2049,390279,396037,267116,276155,55698,52567,12939,518196,34077,12791,1053432,444227,609205,0.67,0.58,Low,Stable
28-02-2079,239711,176329,274387,440374,116809,37174,39841,904027,864,17051,690427,652113,38314,3.62,0.06,High,Stable
31-12-2057,343026,131007,282416,209778,143079,62598,26301,52066,12055,18880,756449,472691,283758,0.1,0.38,Low,Stable
31-03-2054,535484,270604,166716,195833,105805,79199,17194,373994,38157,3499,972804,439687,533117,0.48,0.55,Low,Stable
31-01-2074,665317,416397,134245,434769,125033,33798,15851,829374,19747,11690,1215959,640888,575071,1.06,0.47,Medium,Stable
30-06-2046,418134,112323,123056,182088,148239,85364,26378,16138,44484,8080,653513,494633,158880,0.03,0.24,Low,Stable
31-05-2076,302974,473479,330736,360722,180407,37558,10678,118558,11978,1189,1107189,602532,504657,0.16,0.46,Low,Stable
30-09-2038,349646,212356,359687,584383,94041,81084,40640,258480,24599,13908,921689,838655,83034,0.77,0.09,Low,Stable
31-03-2088,602400,210944,305683,516081,81954,64237,43756,437743,35771,12751,1119027,754550,364477,0.73,0.33,Low,Stable
30-06-2039,350168,304451,345972,346375,58002,85497,39777,271334,46942,14714,1000591,591307,409284,0.41,0.41,Low,Stable
31-12-2076,792016,378600,196656,226361,119783,20178,36183,878691,46540,1025,1367272,450070,917202,0.77,0.67,Low,Stable
30-04-2075,735534,131367,97087,500373,157524,37118,37445,78422,17615,71,963988,750146,213842,0.17,0.22,Low,Stable
31-03-2101,638774,154624,373481,285189,174857,42616,11502,711058,40727,5546,1166879,560437,606442,0.81,0.52,Low,Stable
30-11-2088,711937,334565,216554,240265,69738,20798,31665,606603,44748,2685,1263056,409899,853157,0.59,0.68,Low,Stable
28-02-2051,611597,168008,262024,247718,60703,27601,26198,29086,39349,9385,1041629,410954,630675,0.04,0.61,Low,Stable
31-12-2075,292263,488070,216535,472854,163776,45363,31411,934826,29377,18232,996868,761013,235855,1.78,0.24,Medium,Stable
31-08-2070,735590,477539,323236,244876,193464,22795,25867,125604,30031,10576,1536365,527609,1008756,0.1,0.66,Low,Stable
30-04-2059,765445,216492,150448,180949,94724,65264,24266,887246,49573,2022,1132385,416798,715587,0.93,0.63,Low,Stable
31-05-2039,779205,172240,84648,565763,82299,92833,49422,119324,42733,15831,1036093,848881,187212,0.25,0.18,Low,Stable
31-08-2077,423810,426459,375767,362954,65641,23084,45208,476785,11760,12940,1226036,521587,704449,0.55,0.57,Low,Stable
31-05-2029,296646,301659,115634,480280,129534,96646,41213,740970,47690,17682,713939,813045,-99106,3.17,-0.14,High,Unstable
28-02-2089,545266,372900,391478,261541,56305,20731,17367,391065,33714,4102,1309644,393760,915884,0.37,0.7,Low,Stable
31-05-2061,690025,398522,102054,345691,68782,21129,23490,3435,25762,17288,1190601,502142,688459,0,0.58,Low,Stable
31-10-2056,680703,235327,150028,211842,128257,48022,45362,887937,34332,3026,1066058,470841,595217,1.04,0.56,Medium,Stable
31-12-2066,543054,225703,102207,382930,127963,21605,48285,839763,40100,6709,870964,627592,243372,1.72,0.28,Medium,Stable
30-04-2042,467552,418693,310893,439134,171987,97506,19219,160014,4944,5969,1197138,738759,458379,0.21,0.38,Low,Stable
30-06-2062,259379,265575,161554,297265,174591,64130,16310,714995,48825,2620,686508,603741,82767,1.84,0.12,Medium,Stable
31-03-2087,225053,435938,232458,442253,117766,49265,46307,422275,13877,2646,893449,672114,221335,0.94,0.25,Low,Stable
29-02-2052,602662,407257,163276,280356,56511,52330,39631,712917,29990,4865,1173195,463683,709512,0.8,0.6,Low,Stable
31-03-2052,298723,174069,394925,562449,164816,88469,24744,375601,42907,2289,867717,885674,-17957,1.23,-0.02,Medium,Unstable
31-05-2029,775644,329189,263852,394629,54765,35187,29867,838821,34076,7370,1368685,555894,812791,0.86,0.59,Low,Stable
31-01-2071,472933,498465,272512,362802,73929,45791,28625,839446,49538,13854,1243910,574539,669371,0.95,0.54,Low,Stable
31-01-2072,232154,351051,88210,540277,161576,90610,16378,426042,3258,9677,671415,821776,-150361,3.25,-0.22,High,Unstable
30-04-2099,413942,225541,124363,315582,121088,59867,29149,292441,31629,11343,763846,568658,195188,0.65,0.26,Low,Stable
30-09-2026,464480,289648,322247,413450,127525,20893,21422,568178,37579,17824,1076375,638693,437682,0.86,0.41,Low,Stable
31-03-2078,565821,356353,158279,153849,63780,39773,37926,283466,22958,765,1080453,319051,761402,0.31,0.7,Low,Stable
31-05-2029,481173,371830,271420,162360,56589,24239,47679,560027,39465,12671,1124423,343003,781420,0.58,0.69,Low,Stable
29-02-2020,232265,415507,266356,523216,143664,40863,43171,402935,20317,16158,914128,787389,126739,1.03,0.14,Medium,Stable
30-06-2073,565060,459687,283196,403279,154188,71415,23180,603841,15775,4092,1307943,671929,636014,0.67,0.49,Low,Stable
30-04-2038,443322,231733,279919,244767,143326,88968,37301,8314,11039,12975,954974,538376,416598,0.01,0.44,Low,Stable
28-02-2067,374944,275915,337324,411445,90953,80430,46931,618119,29097,9341,988183,668197,319986,1.07,0.32,Medium,Stable
31-03-2091,770485,195673,275161,326872,115785,21515,34014,861596,34207,12334,1241319,544727,696592,0.94,0.56,Low,Stable
31-01-2103,648396,142828,310363,580179,69309,34605,40936,369802,22553,16077,1101587,763659,337928,0.71,0.31,Low,Stable
30-04-2081,354782,410748,214393,204330,104195,76240,24336,863460,44402,15835,979923,469338,510585,1.11,0.52,Medium,Stable
30-09-2038,271907,372670,289754,201707,75901,25586,32200,822545,55,2666,934331,338115,596216,1.12,0.64,Medium,Stable
31-01-2052,402967,431054,203053,430833,75464,51186,15470,641462,23161,5968,1037074,602082,434992,1.06,0.42,Medium,Stable
31-07-2053,502775,125592,263965,179084,66260,46928,40859,146429,32873,7641,892332,373645,518687,0.21,0.58,Low,Stable
28-02-2073,591182,391126,246892,190387,174997,40711,24953,229937,35969,18565,1229200,485582,743618,0.22,0.6,Low,Stable
31-10-2030,482247,362351,214832,486960,85440,74962,49044,544653,15184,9834,1059430,721424,338006,0.95,0.32,Low,Stable
31-05-2024,264772,332041,233262,152642,145082,40039,48507,301173,669,3888,830075,390827,439248,0.44,0.53,Low,Stable
31-12-2076,326108,450877,147411,454281,155583,56561,37433,263881,12663,840,924396,717361,207035,0.56,0.22,Low,Stable
31-10-2080,214382,330008,365521,336633,106683,95483,35957,393186,25318,13873,909911,613947,295964,0.69,0.33,Low,Stable
31-12-2075,284291,224982,118211,474404,174206,21577,16523,729992,33734,10846,627484,731290,-103806,4.77,-0.17,High,Unstable
28-02-2079,563339,356911,293981,296510,183059,48350,31387,609762,16691,5899,1214231,581896,632335,0.66,0.52,Low,Stable
31-08-2054,482753,168619,345888,460586,128484,53798,41169,340362,18522,565,997260,703124,294136,0.63,0.29,Low,Stable
31-07-2040,347550,260400,336638,515205,194098,30785,32990,779966,11656,6005,944588,790739,153849,1.82,0.16,Medium,Stable
31-08-2089,432050,408623,367139,546210,118309,92227,39661,158571,15893,9156,1207812,821456,386356,0.24,0.32,Low,Stable
31-07-2056,632882,251175,228049,404511,95927,81957,23419,765387,45857,10474,1112106,662145,449961,1.08,0.4,Medium,Stable
30-11-2036,537827,270963,309010,537988,92946,85431,24457,241474,16493,9187,1117800,766502,351298,0.42,0.31,Low,Stable
30-04-2035,692313,241826,114542,511719,176503,37297,12064,128692,3632,7226,1048681,748441,300240,0.24,0.29,Low,Stable
31-03-2030,586858,331055,90651,413957,191449,91894,48083,762790,30336,9379,1008564,785098,223466,1.28,0.22,Medium,Stable
31-05-2053,795603,443581,179239,505171,103592,83772,20566,701517,23112,5890,1418423,742103,676320,0.77,0.48,Low,Stable
30-11-2083,588349,198540,306416,535633,188419,39581,43085,973751,38452,13113,1093305,858283,235022,1.75,0.21,Medium,Stable
30-06-2044,214153,435126,358859,234381,83776,75192,41528,390555,13266,4311,1008138,452454,555684,0.5,0.55,Low,Stable
30-04-2043,440773,202747,235378,399880,184855,21462,16130,172106,16940,11446,878898,650713,228185,0.36,0.26,Low,Stable
30-09-2089,255318,286994,230158,467420,105798,84173,12042,294,24003,8848,772470,702284,70186,0,0.09,Low,Stable
31-08-2093,594030,410375,221130,453387,185370,35511,14598,811028,32872,19366,1225535,741104,484431,1.05,0.4,Medium,Stable
31-10-2070,577177,129301,335948,343984,120204,96106,42886,98185,34815,6083,1042426,644078,398348,0.14,0.38,Low,Stable
30-06-2036,276077,322724,144200,210272,136207,68665,43477,797866,30869,12598,743001,502088,240913,1.5,0.32,Medium,Stable
31-10-2101,333515,293783,185848,323123,150356,64414,38716,58382,49297,16940,813146,642846,170300,0.12,0.21,Low,Stable
31-07-2095,406988,272395,186022,363808,110652,92573,22601,300242,17257,19403,865405,626294,239111,0.6,0.28,Low,Stable
31-07-2062,325885,118752,257691,403091,179572,33386,46018,528943,16682,2580,702328,681329,20999,1.77,0.03,Medium,Stable
31-08-2082,741656,313277,336453,477762,70922,74460,18061,607317,19622,13844,1391386,674671,716715,0.66,0.52,Low,Stable
31-12-2031,388014,460596,142068,414064,126996,26221,18609,308372,30408,9553,990678,625851,364827,0.53,0.37,Low,Stable
30-09-2070,291751,244467,241445,256121,198040,43474,45371,3771,8837,9386,777663,561229,216434,0.01,0.28,Low,Stable
30-09-2036,430203,317029,244226,226872,80266,41045,27485,336243,15407,19522,991458,410597,580861,0.44,0.59,Low,Stable
30-04-2030,411951,483381,217103,493276,195083,24922,30805,645099,29309,14635,1112435,788030,324405,1.04,0.29,Medium,Stable
31-07-2035,705155,156273,304605,414237,52866,42706,17857,974303,6382,671,1166033,534719,631314,1.3,0.54,Medium,Stable
28-02-2047,395716,358503,283047,425049,162669,62771,21620,848689,27654,777,1037266,700540,336726,1.39,0.32,Medium,Stable
31-08-2058,784567,191878,364929,271759,55898,72335,18177,803990,18895,3022,1341374,440086,901288,0.75,0.67,Low,Stable
31-01-2049,515172,367039,329768,567567,68395,72949,40111,320580,33551,18244,1211979,800817,411162,0.5,0.34,Low,Stable
31-03-2084,200126,219968,239741,443125,54006,90714,33042,107779,21376,19523,659835,661786,-1951,0.5,0,Low,Unstable
31-12-2074,227632,477844,174475,486047,60956,35240,28645,649179,370,13817,879951,625075,254876,1.65,0.29,Medium,Stable
31-08-2083,700315,176559,82282,482965,187150,22716,34405,779085,48676,14260,959156,790172,168984,1.64,0.18,Medium,Stable
31-07-2099,309945,110699,245696,521344,145676,36574,21826,485319,486,1074,666340,726980,-60640,3.35,-0.09,High,Unstable
31-08-2097,517320,296133,259510,232289,171724,93717,23890,778760,23762,9908,1072963,555290,517673,0.93,0.48,Low,Stable
31-07-2053,450869,109715,300972,266506,112901,64066,26892,556664,26613,9475,861556,506453,355103,0.94,0.41,Low,Stable
31-10-2048,698716,119169,242777,228513,157227,81826,19484,480674,47268,12878,1060662,547196,513466,0.58,0.48,Low,Stable
31-03-2100,375399,218413,248509,563090,167192,40213,15495,77924,3196,15120,842321,804306,38015,0.28,0.05,Low,Stable
31-07-2062,662120,219264,288944,332003,81417,91916,38481,553620,42320,1986,1170328,588123,582205,0.66,0.5,Low,Stable
31-03-2032,334869,367926,199006,550890,138020,86151,21267,393145,29401,10825,901801,836554,65247,1.12,0.07,Medium,Stable
30-04-2032,378954,319249,316440,462660,133639,70906,16743,571025,35029,9193,1014643,728170,286473,1.03,0.28,Medium,Stable
31-12-2091,234560,224481,284054,409480,144881,20463,47939,393056,10813,17430,743095,651006,92089,1.18,0.12,Medium,Stable
31-03-2079,484260,315400,392727,412043,182659,51973,36569,89031,41916,2176,1192387,727336,465051,0.11,0.39,Low,Stable
30-04-2088,332717,135585,380536,341758,171688,94694,38552,467186,8572,18722,848838,673986,174852,0.92,0.21,Low,Stable
30-09-2060,378595,392826,87461,481356,165584,40651,38948,183024,47776,10047,858882,784362,74520,0.48,0.09,Low,Stable
31-05-2097,579862,278936,180123,283498,136567,88694,20775,283135,28225,16884,1038921,574643,464278,0.37,0.45,Low,Stable
31-12-2097,694592,492136,352660,404024,125886,40008,13557,27472,45853,18617,1539388,647945,891443,0.02,0.58,Low,Stable
30-04-2073,300158,446560,228586,280970,199888,90474,13587,59946,49390,4608,975304,638917,336387,0.09,0.34,Low,Stable
30-11-2065,368502,489954,311496,240009,79432,58185,26535,498782,32275,11906,1169952,448342,721610,0.54,0.62,Low,Stable
29-02-2048,632498,138067,247860,349570,122373,94417,10954,944353,6843,7234,1018425,591391,427034,1.41,0.42,Medium,Stable
31-08-2092,530388,273757,286821,573159,70884,91139,33544,263685,1105,6610,1090966,776441,314525,0.51,0.29,Low,Stable
31-05-2073,518408,353334,272121,347467,55454,54980,43455,653525,43209,10524,1143863,555089,588774,0.82,0.51,Low,Stable
30-11-2084,668276,118073,116027,194816,124960,42504,25138,2765,31639,16984,902376,436041,466335,0,0.52,Low,Stable
30-04-2102,257545,136035,253921,154138,152421,74970,13127,305218,42487,13411,647501,450554,196947,0.62,0.3,Low,Stable
31-05-2099,711411,296049,228930,241176,93618,36766,33147,364939,18051,9180,1236390,431938,804452,0.37,0.65,Low,Stable
31-05-2059,213224,333782,295234,488089,97111,31695,21559,684643,28708,15225,842240,682387,159853,1.93,0.19,Medium,Stable
31-10-2098,240738,190373,159003,416161,170592,37796,13395,625675,35459,10073,590114,683476,-93362,3.6,-0.16,High,Unstable
31-07-2032,380760,445506,263467,422595,109993,62543,35389,775404,11864,4483,1089733,646867,442866,1.16,0.41,Medium,Stable
31-07-2054,666725,190517,119758,344028,178652,34559,10845,493377,34764,5901,977000,608749,368251,0.78,0.38,Low,Stable
30-06-2102,732358,165450,396456,506007,189920,53139,43932,918273,1425,6129,1294264,800552,493712,1.16,0.38,Medium,Stable
31-10-2044,326161,110382,162279,422422,128672,28802,48672,673166,49146,18138,598822,695852,-97030,3.82,-0.16,High,Unstable
30-11-2070,732954,497653,95434,371552,116125,93843,23731,789404,6849,18848,1326041,630948,695093,0.83,0.52,Low,Stable
30-11-2041,498512,302043,275119,193764,167509,60205,43122,673616,36015,10415,1075674,511030,564644,0.76,0.52,Low,Stable
31-08-2083,766202,321427,325754,273030,111602,54159,45585,366047,18976,4482,1413383,507834,905549,0.32,0.64,Low,Stable
31-12-2031,401579,161929,163555,544350,92222,31516,13832,518790,34258,9686,727063,725864,1199,2.84,0,High,Stable
31-10-2048,704471,333483,208379,475087,99223,70492,42332,149725,47078,7400,1246333,741612,504721,0.19,0.4,Low,Stable
31-12-2071,529670,328590,296992,245667,115333,49086,22467,627867,31113,6806,1155252,470472,684780,0.69,0.59,Low,Stable
31-08-2067,418967,461008,319511,466462,172650,50480,23107,479885,49984,10516,1199486,773199,426287,0.65,0.36,Low,Stable
31-05-2093,583152,243401,256806,515567,99420,72091,22458,39339,15401,7396,1083359,732333,351026,0.07,0.32,Low,Stable
29-02-2020,294270,356677,148803,516142,125504,67766,38666,418973,12884,7338,799750,768300,31450,1.48,0.04,Medium,Stable
30-09-2094,743385,387313,363456,210128,52462,58737,12581,889808,18824,9950,1494154,362682,1131472,0.69,0.76,Low,Stable
30-04-2045,347313,187468,304448,369128,59460,29265,19582,304543,37563,12500,839229,527498,311731,0.65,0.37,Low,Stable
28-02-2041,358768,134594,255251,434013,149319,90990,18418,830445,34414,11545,748613,738699,9914,2.64,0.01,High,Stable
30-04-2074,446726,291703,282514,383540,190347,35386,38091,407922,16142,5241,1020943,668747,352196,0.64,0.34,Low,Stable
30-09-2057,770451,145033,325404,155039,194341,57425,39113,955735,47074,4695,1240888,497687,743201,0.88,0.6,Low,Stable
31-01-2023,219816,163133,197961,302353,179593,63254,28827,552197,49592,11530,580910,635149,-54239,1.98,-0.09,Medium,Unstable
30-04-2033,514997,173861,382523,262935,172672,73634,24419,518993,5956,14312,1071381,553928,517453,0.64,0.48,Low,Stable
30-09-2020,355989,283362,97297,160442,122920,67662,21814,994135,13928,18972,736648,405738,330910,1.73,0.45,Medium,Stable
31-05-2039,406524,393894,344155,485932,72553,95452,43804,712932,9721,14318,1144573,721780,422793,1.08,0.37,Medium,Stable
31-03-2028,787111,140461,200234,531873,94036,30143,20024,479095,11157,18166,1127806,705399,422407,0.8,0.37,Low,Stable
30-11-2074,351878,178222,124014,439730,198441,35581,17435,981271,35135,19904,654114,746226,-92112,4.58,-0.14,High,Unstable
31-12-2087,726047,212020,323166,203053,192867,87443,11548,157541,6696,11324,1261233,512931,748302,0.15,0.59,Low,Stable
30-04-2037,635165,386370,258570,331561,120021,49424,15065,132385,27862,3218,1280105,547151,732954,0.14,0.57,Low,Stable
30-11-2030,333554,368865,338864,364176,157205,61984,32880,401063,5190,4016,1041283,625451,415832,0.59,0.4,Low,Stable
31-08-2053,651282,120609,353264,236346,138209,61505,13407,967726,4663,2837,1125155,456967,668188,1.09,0.59,Medium,Stable
31-08-2032,293501,230513,364996,479231,125139,82699,43407,992206,39830,16312,889010,786618,102392,2.42,0.12,High,Stable
30-06-2024,464223,303981,288559,555841,55368,46957,42940,141002,4331,7034,1056763,712471,344292,0.28,0.33,Low,Stable
31-12-2029,259676,204211,171575,184397,185693,45464,15666,3285,44648,7309,635462,483177,152285,0.01,0.24,Low,Stable
31-01-2076,373532,286321,175040,470815,108829,43649,47122,385781,28549,14379,834893,713343,121550,1.06,0.15,Medium,Stable
31-08-2096,797135,498872,228510,266214,179036,62065,35092,560151,16246,4239,1524517,562892,961625,0.45,0.63,Low,Stable
30-04-2072,420178,487009,259587,479041,64719,54758,20109,147776,25761,12128,1166774,656516,510258,0.21,0.44,Low,Stable
30-11-2068,349521,436664,85744,307221,79227,25596,45654,936209,3262,15856,871929,476816,395113,1.66,0.45,Medium,Stable
31-01-2072,626752,426453,294892,548499,159430,36374,44932,655915,46088,9611,1348097,844934,503163,0.82,0.37,Low,Stable
31-08-2100,788365,129984,384503,550826,188638,23775,36505,545611,7036,4150,1302852,810930,491922,0.73,0.38,Low,Stable
31-12-2054,457009,218947,230871,586542,62306,47388,46713,333112,22322,11109,906827,776380,130447,1.04,0.14,Medium,Stable
28-02-2055,337717,304894,304834,427068,103822,41029,17746,984426,19131,1446,947445,610242,337203,1.89,0.36,Medium,Stable
31-08-2028,581915,105901,200906,263143,74042,73639,21975,53915,4677,11936,888722,449412,439310,0.09,0.49,Low,Stable
31-12-2090,762288,262624,281260,522397,196158,34645,25596,371687,7972,11036,1306172,797804,508368,0.47,0.39,Low,Stable
28-02-2041,751025,322317,300931,512441,198459,51105,47953,665979,15329,6468,1374273,831755,542518,0.77,0.39,Low,Stable
30-11-2038,500709,393199,333593,413013,139424,33668,43861,203462,37032,14021,1227501,681019,546482,0.25,0.45,Low,Stable
30-04-2029,386240,268757,318746,509232,199395,35960,13880,784278,35901,4175,973743,798543,175200,1.69,0.18,Medium,Stable
30-06-2062,776775,245788,87597,413158,68019,31357,12785,894932,44380,15390,1110160,585089,525071,1.28,0.47,Medium,Stable
31-05-2059,474486,214099,389237,160103,125426,84604,32449,507553,20493,5080,1077822,428155,649667,0.55,0.6,Low,Stable
31-03-2028,502950,111138,283199,522461,90863,71796,24799,976778,18595,15471,897287,743985,153302,2.61,0.17,High,Stable
30-09-2032,510914,266370,288434,576674,161023,35804,49307,466389,21923,14893,1065718,859624,206094,0.95,0.19,Low,Stable
30-09-2091,278623,123429,237489,232409,191355,34626,13990,938729,46926,17248,639541,536554,102987,2.31,0.16,High,Stable
29-02-2096,565321,150200,195598,173248,199351,48132,29073,373410,9735,16009,911119,475548,435571,0.51,0.48,Low,Stable
31-08-2094,383675,302380,330100,324588,96999,27951,46863,813171,34457,6217,1016155,537075,479080,1.18,0.47,Medium,Stable
28-02-2093,416454,348289,338589,572277,112780,26449,24549,440924,42531,5672,1103332,784258,319074,0.83,0.29,Low,Stable
29-02-2048,309575,345127,264233,305242,72908,39065,28259,652329,7727,1502,918935,454703,464232,1.06,0.51,Medium,Stable
31-10-2078,407606,463412,332388,158024,176278,29130,29790,53019,7764,1410,1203406,402396,801010,0.05,0.67,Low,Stable
30-06-2088,705815,336513,213241,384864,163002,82287,19979,207226,45771,3770,1255569,699673,555896,0.24,0.44,Low,Stable
31-07-2033,492822,117347,295164,498091,150706,71702,30316,233169,27599,10097,905333,788511,116822,0.57,0.13,Low,Stable
31-12-2079,276218,247992,233124,324875,172019,56993,36183,531661,818,4001,757334,594889,162445,1.23,0.21,Medium,Stable
30-09-2099,787518,131822,284923,562512,159708,51875,38324,690641,47207,19867,1204263,879493,324770,1.08,0.27,Medium,Stable
30-09-2076,536199,140108,88036,503973,59343,26054,34624,544475,47845,598,764343,672437,91906,2.09,0.12,High,Stable
31-12-2102,649589,491099,111778,504852,126173,68517,48176,854295,37289,10976,1252466,795983,456483,1.14,0.36,Medium,Stable
31-05-2033,678446,107967,234245,498808,150260,96368,30245,622215,33892,19425,1020658,828998,191660,1.19,0.19,Medium,Stable
30-04-2068,662052,472863,241475,561473,119443,49670,33790,762473,5660,6391,1376390,776427,599963,0.94,0.44,Low,Stable
30-09-2086,534402,111871,282747,293927,107530,69112,36756,346229,29521,16450,929020,553296,375724,0.55,0.4,Low,Stable
28-02-2053,239986,325371,98800,235178,185899,48307,12833,117996,38409,14908,664157,535534,128623,0.28,0.19,Low,Stable
31-01-2043,547739,308524,367516,513265,146143,87087,15285,563508,34470,11590,1223779,807840,415939,0.79,0.34,Low,Stable
31-12-2087,672327,305342,362682,432169,194771,67922,19589,392647,18385,16279,1340351,749115,591236,0.43,0.44,Low,Stable
30-04-2096,527073,264685,311312,547674,164527,83080,24116,515971,23296,2750,1103070,845443,257627,0.93,0.23,Low,Stable
31-12-2061,797794,128179,139500,213610,186385,99335,17645,531930,23616,9916,1065473,550507,514966,0.62,0.48,Low,Stable
31-08-2094,234911,351537,247647,220843,194670,46312,39150,79971,26382,6806,834095,534163,299932,0.13,0.36,Low,Stable
31-08-2052,625037,283260,316527,257237,161362,86985,20889,579844,11139,6429,1224824,544041,680783,0.6,0.56,Low,Stable
31-03-2031,212175,417243,190659,330903,78807,77608,40286,426976,32060,8123,820077,567787,252290,0.87,0.31,Low,Stable
31-03-2036,516915,135262,107716,324499,109550,60277,47545,824624,22419,18015,759893,582305,177588,1.89,0.23,Medium,Stable
31-05-2053,699876,440357,82352,280299,53558,51551,25994,517473,27785,6452,1222585,445639,776946,0.55,0.64,Low,Stable
30-04-2073,266358,479551,213004,581722,100113,76597,45503,397597,15702,17158,958913,836795,122118,1.05,0.13,Medium,Stable
30-09-2022,610543,448413,88556,155668,102999,65212,34662,751943,29217,15456,1147512,403214,744298,0.76,0.65,Low,Stable
30-04-2077,247057,160545,341973,372542,108219,29637,49136,412774,39291,4019,749575,602844,146731,1.09,0.2,Medium,Stable
30-04-2058,468294,334555,216570,328267,103218,63258,36639,292926,12397,12419,1019419,556198,463221,0.42,0.45,Low,Stable
31-07-2099,454726,323894,287190,485377,69229,55693,27205,266926,40879,929,1065810,679312,386498,0.46,0.36,Low,Stable
31-07-2093,478176,303218,130098,305489,125209,29824,42930,746777,35169,19396,911492,558017,353475,1.23,0.39,Medium,Stable
28-02-2059,726486,402066,220641,494126,77877,46950,17777,185784,26940,6264,1349193,669934,679259,0.22,0.5,Low,Stable
31-03-2051,367292,142913,327199,256133,147137,43488,38315,236836,42249,7973,837404,535295,302109,0.41,0.36,Low,Stable
31-10-2021,344931,459177,206060,422895,88084,20215,36973,488161,28341,9697,1010168,606205,403963,0.83,0.4,Low,Stable
30-06-2082,643676,466936,267954,458362,131780,31523,28316,150534,10067,11136,1378566,671184,707382,0.16,0.51,Low,Stable
31-10-2075,362491,350497,281465,538793,197878,95900,37304,846462,46144,19203,994453,935222,59231,1.86,0.06,Medium,Stable
28-02-2023,581009,277404,210544,419496,87034,88689,46303,723879,13824,1184,1068957,656530,412427,1.11,0.39,Medium,Stable
28-02-2039,601921,482007,80340,360124,105468,43834,40522,842843,13444,16911,1164268,580303,583965,1.05,0.5,Medium,Stable
31-05-2050,460910,256104,255021,238835,60589,54474,32340,186278,45647,916,972035,432801,539234,0.25,0.55,Low,Stable
30-11-2066,223236,268918,162302,247493,107221,63066,29830,97469,48880,3574,654456,500064,154392,0.24,0.24,Low,Stable
30-06-2056,287955,290546,302740,441071,51657,30400,23403,571238,33307,3319,881241,583157,298084,1.3,0.34,Medium,Stable
31-08-2084,430785,144936,80138,322166,148300,30345,24516,395739,10974,17790,655859,554091,101768,1.19,0.16,Medium,Stable
